servidor_id,mes_referencia,secretaria_municipal,renda_liquida,despesa_basica_informada
SRV-093,2026-08-01,financas,"7141.09","1.419,51"
SRV-094,01/08/2026,SAUDE,"R$ 7.278,22","1.502,58"
SRV-095,2026/08/01,educação,"R$ 7.415,35","1.585,65"
SRV-096,2026-08-01,Finanças,"7552.48","1.668,72"
SRV-097,01/08/2026,Saúde,"R$ 7.689,61","1.751,79"
SRV-098,2026/08/01,Educação,"R$ 7.826,74","1.834,86"
SRV-099,2026-08-01,financas,"7963.87","1.917,93"
SRV-100,01/08/2026,SAUDE,"R$ 8.100,00","2.000,00"
SRV-101,2026/08/01,educação,"R$ 8.237,13","2.083,07"
SRV-102,2026-08-01,Finanças,"8374.26","766,14"
SRV-103,01/08/2026,Saúde,"R$ 8.511,39","849,21"
SRV-104,2026/08/01,Educação,"R$ 8.648,52","932,28"
SRV-105,2026-08-01,financas,"8785.65","1.015,35"
SRV-106,01/08/2026,SAUDE,"R$ 8.922,78","1.098,42"
SRV-107,2026/08/01,educação,"R$ 9.059,91","1.181,49"
SRV-108,2026-08-01,Finanças,"9196.04","1.264,56"
SRV-109,01/08/2026,Saúde,"R$ 9.333,17","1.347,63"
SRV-110,2026/08/01,Educação,"R$ 9.470,30","1.430,70"
SRV-111,2026-08-01,financas,"9607.43","1.513,77"
SRV-112,01/08/2026,SAUDE,"R$ 9.744,56","1.596,84"
SRV-113,2026/08/01,educação,"R$ 9.881,69","1.679,91"
SRV-114,2026-08-01,Finanças,"2218.82","1.762,98"
SRV-115,01/08/2026,Saúde,"R$ 2.355,95","1.845,05"
SRV-116,2026/08/01,Educação,"R$ 2.492,08","1.928,12"
SRV-117,2026-08-01,financas,"2629.21","2.011,19"
SRV-118,01/08/2026,SAUDE,"R$ 2.766,34","2.094,26"
SRV-119,2026/08/01,educação,"R$ 2.903,47","777,33"
SRV-120,2026-08-01,Finanças,"3040.60","860,40"
SRV-121,01/08/2026,Saúde,"R$ 3.177,73","943,47"
SRV-122,2026/08/01,Educação,"R$ 3.314,86","1.026,54"
SRV-123,2026-08-01,financas,"3451.99","1.109,61"
SRV-124,01/08/2026,SAUDE,"R$ 3.588,12","1.192,68"
SRV-125,2026/08/01,educação,"R$ 3.725,25","1.275,75"
SRV-126,2026-08-01,Finanças,"3862.38","1.358,82"
SRV-127,01/08/2026,Saúde,"R$ 3.999,51","1.441,89"
SRV-128,2026/08/01,Educação,"R$ 4.136,64","1.524,96"
SRV-129,2026-08-01,financas,"4273.77","1.607,03"
SRV-130,01/08/2026,SAUDE,"R$ 4.410,90","1.690,10"
SRV-131,2026/08/01,educação,"R$ 4.547,03","1.773,17"
SRV-132,2026-08-01,Finanças,"4684.16","1.856,24"
SRV-133,01/08/2026,Saúde,"R$ 4.821,29","1.939,31"
SRV-134,2026/08/01,Educação,"R$ 4.958,42","2.022,38"
SRV-135,2026-08-01,financas,"5095.55","705,45"
SRV-136,01/08/2026,SAUDE,"R$ 5.232,68","788,52"
SRV-137,2026/08/01,educação,"R$ 5.369,81","871,59"
SRV-138,2026-08-01,Finanças,"5506.94","954,66"
SRV-139,01/08/2026,Saúde,"R$ 5.643,07","1.037,73"
SRV-140,2026/08/01,Educação,"R$ 5.780,20","1.120,80"
SRV-141,2026-08-01,financas,"5917.33","1.203,87"
SRV-142,01/08/2026,SAUDE,"R$ 6.054,46","1.286,94"
SRV-143,2026/08/01,educação,"R$ 6.191,59","1.369,01"
SRV-144,2026-08-01,Finanças,"6328.72","1.452,08"
SRV-145,01/08/2026,Saúde,"R$ 6.465,85","1.535,15"
SRV-146,2026/08/01,Educação,"R$ 6.602,98","1.618,22"
SRV-147,2026-08-01,financas,"6739.11","1.701,29"
SRV-148,01/08/2026,SAUDE,"R$ 6.876,24","1.784,36"
SRV-149,2026/08/01,educação,"R$ 7.013,37","1.867,43"
SRV-150,2026-08-01,Finanças,"7150.50","1.950,50"
SRV-151,01/08/2026,Saúde,"R$ 7.287,63","2.033,57"
SRV-152,2026/08/01,Educação,"R$ 7.424,76","716,64"
SRV-153,2026-08-01,financas,"7561.89","799,71"
SRV-154,01/08/2026,SAUDE,"R$ 7.698,02","882,78"
SRV-155,2026/08/01,educação,"R$ 7.835,15","965,85"
SRV-156,2026-08-01,Finanças,"7972.28","1.048,92"
SRV-157,01/08/2026,Saúde,"R$ 8.109,41","1.131,99"
SRV-158,2026/08/01,Educação,"R$ 8.246,54","1.214,06"
SRV-159,2026-08-01,financas,"8383.67","1.297,13"
SRV-160,01/08/2026,SAUDE,"R$ 8.520,80","1.380,20"
SRV-161,2026/08/01,educação,"R$ 8.657,93","1.463,27"
SRV-162,2026-08-01,Finanças,"8794.06","1.546,34"
SRV-163,01/08/2026,Saúde,"R$ 8.931,19","1.629,41"
SRV-164,2026/08/01,Educação,"R$ 9.068,32","1.712,48"
SRV-165,2026-08-01,financas,"9205.45","1.795,55"
SRV-166,01/08/2026,SAUDE,"R$ 9.342,58","1.878,62"
SRV-167,2026/08/01,educação,"R$ 9.479,71","1.961,69"
SRV-168,2026-08-01,Finanças,"9616.84","2.044,76"
SRV-169,01/08/2026,Saúde,"R$ 9.753,97","727,83"
SRV-170,2026/08/01,Educação,"R$ 9.890,10","810,90"
SRV-171,2026-08-01,financas,"2227.23","893,97"
SRV-172,01/08/2026,SAUDE,"R$ 2.364,36","976,04"
SRV-173,2026/08/01,educação,"R$ 2.501,49","1.059,11"
SRV-174,2026-08-01,Finanças,"2638.62","1.142,18"
SRV-175,01/08/2026,Saúde,"R$ 2.775,75","1.225,25"
SRV-176,2026/08/01,Educação,"R$ 2.912,88","1.308,32"
SRV-177,2026-08-01,financas,"3049.01","1.391,39"
SRV-178,01/08/2026,SAUDE,"R$ 3.186,14","1.474,46"
SRV-179,2026/08/01,educação,"R$ 3.323,27","1.557,53"
SRV-180,2026-08-01,Finanças,"3460.40","1.640,60"
SRV-181,01/08/2026,Saúde,"R$ 3.597,53","1.723,67"
SRV-182,2026/08/01,Educação,"R$ 3.734,66","1.806,74"
SRV-183,2026-08-01,financas,"3871.79","1.889,81"
SRV-184,01/08/2026,SAUDE,"R$ 4.008,92","1.972,88"
SRV-185,2026/08/01,educação,"R$ 4.145,05","2.055,95"
SRV-186,2026-08-01,Finanças,"4282.18","738,02"
SRV-187,01/08/2026,Saúde,"R$ 4.419,31","821,09"
SRV-188,2026/08/01,Educação,"R$ 4.556,44","904,16"
SRV-189,2026-08-01,financas,"4693.57","987,23"
SRV-190,01/08/2026,SAUDE,"R$ 4.830,70","1.070,30"
SRV-191,2026/08/01,educação,"R$ 4.967,83","1.153,37"
SRV-192,2026-08-01,Finanças,"5104.96","1.236,44"
SRV-193,01/08/2026,Saúde,"R$ 5.241,09","1.319,51"
SRV-194,2026/08/01,Educação,"R$ 5.378,22","1.402,58"
SRV-195,2026-08-01,financas,"5515.35","1.485,65"
SRV-196,01/08/2026,SAUDE,"R$ 5.652,48","1.568,72"
SRV-197,2026/08/01,educação,"R$ 5.789,61","1.651,79"
SRV-198,2026-08-01,Finanças,"5926.74","1.734,86"
SRV-199,01/08/2026,Saúde,"R$ 6.063,87","1.817,93"
SRV-200,2026/08/01,Educação,"R$ 6.200,00","1.900,00"
